Date,Vicinity,Area,Region,Confirmed,New_cases_diff,New_cases,Area.b,Population,Percent ,Rate
22-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413146,0,0
23-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413147,0,0
24-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413148,0,0
25-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413149,0,0
26-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413150,0,0
27-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413151,0,0
28-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413152,0,0
29-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413153,0,0
30-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413154,0,0
31-Jan-20,,Alberta,Canada,0,0,0,Alberta,4413155,0,0
1-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413156,0,0
2-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413157,0,0
3-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413158,0,0
4-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413159,0,0
5-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413160,0,0
6-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413161,0,0
7-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413162,0,0
8-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413163,0,0
9-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413164,0,0
10-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413165,0,0
11-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413166,0,0
12-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413167,0,0
13-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413168,0,0
14-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413169,0,0
15-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413170,0,0
16-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413171,0,0
17-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413172,0,0
18-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413173,0,0
19-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413174,0,0
20-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413175,0,0
21-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413176,0,0
22-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413177,0,0
23-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413178,0,0
24-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413179,0,0
25-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413180,0,0
26-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413181,0,0
27-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413182,0,0
28-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413183,0,0
29-Feb-20,,Alberta,Canada,0,0,0,Alberta,4413184,0,0
1-Mar-20,,Alberta,Canada,0,0,0,Alberta,4413185,0,0
2-Mar-20,,Alberta,Canada,0,0,0,Alberta,4413186,0,0
3-Mar-20,,Alberta,Canada,0,0,0,Alberta,4413187,0,0
4-Mar-20,,Alberta,Canada,0,0,0,Alberta,4413188,0,0
5-Mar-20,,Alberta,Canada,0,0,0,Alberta,4413189,0,0
6-Mar-20,,Alberta,Canada,1,1,1,Alberta,4413190,2.27E-07,2.27E-07
7-Mar-20,,Alberta,Canada,2,1,1,Alberta,4413191,4.53E-07,4.53E-07
8-Mar-20,,Alberta,Canada,4,2,2,Alberta,4413192,9.06E-07,9.06E-07
9-Mar-20,,Alberta,Canada,7,3,3,Alberta,4413193,1.59E-06,1.59E-06
10-Mar-20,,Alberta,Canada,7,0,0,Alberta,4413194,1.59E-06,1.59E-06
11-Mar-20,,Alberta,Canada,19,12,12,Alberta,4413195,4.31E-06,4.31E-06
12-Mar-20,,Alberta,Canada,19,0,0,Alberta,4413196,4.31E-06,4.31E-06
13-Mar-20,,Alberta,Canada,29,10,10,Alberta,4413197,6.57E-06,6.57E-06
14-Mar-20,,Alberta,Canada,29,0,0,Alberta,4413198,6.57E-06,6.57E-06
15-Mar-20,,Alberta,Canada,39,10,10,Alberta,4413199,8.84E-06,8.84E-06
16-Mar-20,,Alberta,Canada,56,17,17,Alberta,4413200,1.27E-05,1.27E-05
17-Mar-20,,Alberta,Canada,74,18,18,Alberta,4413201,1.68E-05,1.68E-05
18-Mar-20,,Alberta,Canada,97,23,23,Alberta,4413202,2.20E-05,2.20E-05
19-Mar-20,,Alberta,Canada,119,22,22,Alberta,4413203,2.70E-05,2.70E-05
20-Mar-20,,Alberta,Canada,146,27,27,Alberta,4413204,3.31E-05,3.31E-05
21-Mar-20,,Alberta,Canada,195,49,49,Alberta,4413205,4.42E-05,4.42E-05
22-Mar-20,,Alberta,Canada,259,64,64,Alberta,4413206,5.87E-05,5.87E-05
23-Mar-20,,Alberta,Canada,301,42,42,Alberta,4413207,6.82E-05,6.82E-05
24-Mar-20,,Alberta,Canada,359,58,58,Alberta,4413208,8.13E-05,8.13E-05
25-Mar-20,,Alberta,Canada,358,-1,0,Alberta,4413209,8.11E-05,8.11E-05
26-Mar-20,,Alberta,Canada,486,128,128,Alberta,4413210,0.000110124,0.000110124
27-Mar-20,,Alberta,Canada,542,56,56,Alberta,4413211,0.000122813,0.000122813
28-Mar-20,,Alberta,Canada,542,0,0,Alberta,4413212,0.000122813,0.000122813
29-Mar-20,,Alberta,Canada,621,79,79,Alberta,4413213,0.000140714,0.000140714
30-Mar-20,,Alberta,Canada,661,40,40,Alberta,4413214,0.000149777,0.000149777
31-Mar-20,,Alberta,Canada,690,29,29,Alberta,4413215,0.000156349,0.000156349
